,personUri,personLabel,birthYear,gender,countries,continents,occupations
209,http://www.wikidata.org/entity/Q108217506,Rais Muhammad,1986,male,India,Asia,chief executive officer
210,http://www.wikidata.org/entity/Q55629586,Peter Beck,1976,male,New Zealand,Oceania,"chief executive officer, entrepreneur, engineer, businessperson"
211,http://www.wikidata.org/entity/Q6413347,Kingsley Uyi Idehen,1965,male,United States,North America,"chief executive officer, entrepreneur, businessperson"
212,http://www.wikidata.org/entity/Q24238070,Regin Jacobsen,1966,male,Kingdom of Denmark,Europe,"chief executive officer, businessperson"
213,http://www.wikidata.org/entity/Q6938748,Eliyahu Glickman,1961,male,Israel,Asia,"manager, chief executive officer, military officer"
214,http://www.wikidata.org/entity/Q2658582,Amos Manor,1918,male,"Israel, Hungary","Asia, Europe","manager, chief executive officer, engineer, businessperson"
215,http://www.wikidata.org/entity/Q4998925,Jan Erik Knarbakk,1952,male,Norway,Europe,"journalist, editing staff, chief executive officer, chairperson"
216,http://www.wikidata.org/entity/Q108810432,Oriol Fuertes Cabassa,1987,male,Spain,Europe,chief executive officer
217,http://www.wikidata.org/entity/Q7348059,Robert Noel,1964,male,United Kingdom,Europe,"chief executive officer, entrepreneur"
218,http://www.wikidata.org/entity/Q131623063,Marie Solange Ndom Ebongue,1980,female,Cameroon,Africa,"cardiologist, chief executive officer, politician"
219,http://www.wikidata.org/entity/Q6741441,Galia Maor,1943,female,Israel,Asia,"manager, chief executive officer"
220,http://www.wikidata.org/entity/Q59309411,Jérôme Darnaudet,1968,male,France,Europe,"journalist, chief executive officer"
221,http://www.wikidata.org/entity/Q48562446,Mike Wirth,1960,male,United States,North America,"chief executive officer, engineer"
222,http://www.wikidata.org/entity/Q19921706,Yaffa Vigodski,1946,female,Israel,Asia,"manager, educator, chief executive officer, businessperson"
223,http://www.wikidata.org/entity/Q25486249,Muhtar Suhaili,1981,male,Malaysia,Asia,"chief executive officer, politician"
224,http://www.wikidata.org/entity/Q21008189,Valérie Chapoulaud-Floquet,1962,female,France,Europe,"chief executive officer, businessperson"
225,http://www.wikidata.org/entity/Q6677329,Shlomit Amichai,1944,female,Israel,Asia,"educator, chief executive officer"
226,http://www.wikidata.org/entity/Q21154877,Ohad Marani,1955,male,Israel,Asia,"manager, chief executive officer"
227,http://www.wikidata.org/entity/Q8016972,William Poduska,1937,male,United States,North America,"chief executive officer, computer scientist"
228,http://www.wikidata.org/entity/Q132798456,Q132798456,1969,male,Kingdom of Denmark,Europe,"chief executive officer, economist"
229,http://www.wikidata.org/entity/Q134386048,Q134386048,1980,male,Israel,Asia,chief executive officer
230,http://www.wikidata.org/entity/Q11474080,Yoshiaki Iwai,1960,male,Japan,Asia,"chief executive officer, businessperson"
231,http://www.wikidata.org/entity/Q8010572,William H. Rogers Jr.,1960,male,United States,North America,"banker, chief executive officer, entrepreneur"
