uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q33141056,Gaétan de L'Hermite,1973,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1971-2000,['grande école']
http://www.wikidata.org/entity/Q33144037,Michel Finance,1957,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1941-1970,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q33144037,Michel Finance,1957,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1941-1970,['grande école']
http://www.wikidata.org/entity/Q33154873,Rodin Randriambololona,1971,employment,http://www.wikidata.org/entity/Q173395,Cisco,4,business | enterprise | organization | public company,1971-2000,"['business', 'enterprise', 'organization', 'public company']"
http://www.wikidata.org/entity/Q33154873,Rodin Randriambololona,1971,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1971-2000,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q33154873,Rodin Randriambololona,1971,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1971-2000,['grande école']
http://www.wikidata.org/entity/Q33158035,Guillaume Faury,1968,education,http://www.wikidata.org/entity/Q3151889,IAE Aix-en-Provence,1,academic institution,1941-1970,['academic institution']
http://www.wikidata.org/entity/Q33158035,Guillaume Faury,1968,education,http://www.wikidata.org/entity/Q155446,Institut Supérieur de l'Aéronautique et de l'Espace,1,engineering college,1941-1970,['engineering college']
http://www.wikidata.org/entity/Q33158035,Guillaume Faury,1968,education,http://www.wikidata.org/entity/Q273626,École polytechnique,1,engineering college,1941-1970,['engineering college']
http://www.wikidata.org/entity/Q33159701,Pascale Alvanitakis-Guély,1965,education,http://www.wikidata.org/entity/Q750066,Aston University,3,educational organization | higher education institution | public university,1941-1970,"['educational organization', 'higher education institution', 'public university']"
http://www.wikidata.org/entity/Q33159701,Pascale Alvanitakis-Guély,1965,education,http://www.wikidata.org/entity/Q4810950,Aston Business School,1,business school,1941-1970,['business school']
http://www.wikidata.org/entity/Q33159701,Pascale Alvanitakis-Guély,1965,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1941-1970,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q33159701,Pascale Alvanitakis-Guély,1965,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1941-1970,['grande école']
http://www.wikidata.org/entity/Q33179634,Emmanuel Danan,1976,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1971-2000,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q33179634,Emmanuel Danan,1976,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1971-2000,['grande école']
