p,propLabel,eff
http://www.wikidata.org/prop/direct/P3618,base salariale,1
http://www.wikidata.org/prop/direct/P3747,identifiant Social Science Research Network d'un auteur,1
http://www.wikidata.org/prop/direct/P3829,identifiant Publons d'un auteur,1
http://www.wikidata.org/prop/direct/P3835,identifiant Mendeley d'une personne,1
http://www.wikidata.org/prop/direct/P3666,identifiant European Professional Club Rugby,1
http://www.wikidata.org/prop/direct/P3716,statut social ou civil,1
http://www.wikidata.org/prop/direct/P3726,identifiant Eu-football.info d'un joueur,1
http://www.wikidata.org/prop/direct/P3430,identifiant Social Networks Archival Context,1
http://www.wikidata.org/prop/direct/P3479,identifiant Omni,1
http://www.wikidata.org/prop/direct/P3509,identifiant Dagens Nyheter,1
http://www.wikidata.org/prop/direct/P2889,identifiant FamilySearch,1
http://www.wikidata.org/prop/direct/P2966,identifiant Bibliothèque nationale du pays de Galles,1
http://www.wikidata.org/prop/direct/P3846,identifiant DBC,1
http://www.wikidata.org/prop/direct/P3885,identifiant History of Modern Biomedicine,1
http://www.wikidata.org/prop/direct/P3913,identifiant MobyGames d'un développeur,1
http://www.wikidata.org/prop/direct/P3943,identifiant Tumblr,1
http://www.wikidata.org/prop/direct/P4015,identifiant Vimeo,1
http://www.wikidata.org/prop/direct/P4359,identifiant Gravsted.dk,1
http://www.wikidata.org/prop/direct/P4666,identifiant CineMagia d'un acteur,1
http://www.wikidata.org/prop/direct/P4782,identifiant Movieplayer d'une personne,1
http://www.wikidata.org/prop/direct/P4804,identifiant Compagnon de la Libération,1
http://www.wikidata.org/prop/direct/P4891,identifiant Patrons de France,1
http://www.wikidata.org/prop/direct/P4963,identifiant Svenskt kvinnobiografiskt lexikon,1
http://www.wikidata.org/prop/direct/P5243,identifiant Canal-U d'une personne,1
http://www.wikidata.org/prop/direct/P5259,identifiant Gravstensinventeringen,1
http://www.wikidata.org/prop/direct/P5306,identifiant League of Nations Search Engine,1
http://www.wikidata.org/prop/direct/P5380,identifiant Académie nationale des sciences,1
http://www.wikidata.org/prop/direct/P5378,identifiant Akadem (obsolète),1
http://www.wikidata.org/prop/direct/P5389,résident permanent de,1
http://www.wikidata.org/prop/direct/P5463,identifiant Academia Europaea,1
http://www.wikidata.org/prop/direct/P5491,identifiant BD Gest' d'un auteur,1
http://www.wikidata.org/prop/direct/P5508,identifiant archINFORM d'une personne ou d'un bureau,1
http://www.wikidata.org/prop/direct/P5695,identifiant Bibliopoche,1
http://www.wikidata.org/prop/direct/P5797,identifiant d'une chaine Twitch,1
http://www.wikidata.org/prop/direct/P5952,identifiant Annuaire rétrospectif de la magistrature,1
http://www.wikidata.org/prop/direct/P6005,identifiant Muck Rack d'un journaliste,1
http://www.wikidata.org/prop/direct/P6083,identifiant Cineuropa d'une personne,1
http://www.wikidata.org/prop/direct/P6146,identifiant The Hendon Mob,1
http://www.wikidata.org/prop/direct/P6181,identifiant Disney A to Z,1
http://www.wikidata.org/prop/direct/P6262,identifiant Fandom d'un article,1
http://www.wikidata.org/prop/direct/P5617,identifiant Evene,1
http://www.wikidata.org/prop/direct/P6325,identifiant Critique d'art,1
http://www.wikidata.org/prop/direct/P6668,identifiant theatre-contemporain.net,1
http://www.wikidata.org/prop/direct/P6664,identifiant Le Vif d'un sujet,1
http://www.wikidata.org/prop/direct/P6734,identifiant Archaeology Data Service,1
http://www.wikidata.org/prop/direct/P6758,supporter de,1
http://www.wikidata.org/prop/direct/P6917,identifiant Archives historiques de l'Union europÃ©enne,1
http://www.wikidata.org/prop/direct/P6802,image en rapport,1
http://www.wikidata.org/prop/direct/P6817,identifiant SVT Play,1
http://www.wikidata.org/prop/direct/P6844,identifiant abART d'une personne,1
